 ,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
-150,z,,,,,19,0,76,3,788.446614,789.4468446,789.4468446,789.4468446,789.4468446,789.4468446,790.446859,790.446859,z,1,1.1346209,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,19,1,77,0,791.6128115,792.6129468,792.6129468,792.6129468,792.6129468,792.6129468,793.6129772,793.6129772,x,1,0.6309904,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,19,2,78,0,794.2626361,795.2629536,795.2629536,795.2629536,795.2629536,795.2629536,796.2626215,796.2626215,x,1,0.6570191,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,19,3,79,1,796.946178,797.9463709,797.9463709,797.9463709,797.9463709,797.9463709,798.9464966,798.9464966,v,1,0.9572704,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,20,0,80,1,799.9290937,800.9293707,800.9293707,800.9293707,800.9293707,800.9293707,801.9288275,801.9288275,v,1,0.6566227,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,20,1,81,2,802.6122498,803.6125595,803.6125595,803.6125595,803.6125595,803.6125595,804.6126981,804.6126981,c,1,0.8794206,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,20,2,82,2,805.5123316,806.5120334,806.5120334,806.5120334,806.5120334,806.5120334,807.512317,807.512317,c,1,0.5587627,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,20,3,83,0,808.09579,809.0955988,809.0955988,809.0955988,809.0955988,809.0955988,810.0956439,810.0956439,x,1,1.1575232,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,,,,,21,0,84,2,811.2791517,812.2783366,812.2783366,812.2783366,812.2783366,812.2783366,813.2787731,813.2787731,c,1,0.6019585,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,21,1,85,3,813.9118797,814.9117361,814.9117361,814.9117361,814.9117361,814.9117361,815.9115463,815.9115463,z,1,0.8133302,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,21,2,86,3,816.7452654,817.7453475,817.7453475,817.7453475,817.7453475,817.7453475,818.7453213,818.7453213,z,1,0.495755,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,21,3,87,0,819.2617897,820.2614394,820.2614394,820.2614394,820.2614394,820.2614394,821.2616002,821.2616002,x,1,0.6424319,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,,,,,22,0,88,1,821.9282599,822.9282329,822.9282329,822.9282329,822.9282329,822.9282329,823.9281497,823.9281497,v,1,0.9628127,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,22,1,89,3,824.9109401,825.9114601,825.9114601,825.9114601,825.9114601,825.9114601,826.91145,826.91145,z,1,0.7858874,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,,,,,22,2,90,0,827.7283775,828.7282932,828.7282932,828.7282932,828.7282932,828.7282932,829.7274768,829.7274768,x,1,0.4594975,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,,,,,22,3,91,3,830.2108972,831.2107058,831.2107058,831.2107058,831.2107058,831.2107058,832.2113762,832.2113762,z,1,0.52991,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
